# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.192011356353759766e+01 2.781672859191894531e+01 1.186071872711181641e+01 0.000000000000000000e+00
1.000000000000000000e+03 1.141059303283691406e+01 3.545363247394561768e-02 1.139739990234375000e+01 0.000000000000000000e+00
2.000000000000000000e+03 1.140061759948730469e+01 1.520705968141555786e-02 1.140299797058105469e+01 0.000000000000000000e+00
3.000000000000000000e+03 1.140076446533203125e+01 9.378003887832164764e-03 1.140252685546875000e+01 0.000000000000000000e+00
4.000000000000000000e+03 1.139904594421386719e+01 7.323712576180696487e-03 1.140121650695800781e+01 0.000000000000000000e+00
5.000000000000000000e+03 1.139637756347656250e+01 6.223440170288085938e-03 1.139923000335693359e+01 0.000000000000000000e+00
6.000000000000000000e+03 1.138945102691650391e+01 6.449993234127759933e-03 1.139542102813720703e+01 0.000000000000000000e+00
7.000000000000000000e+03 1.137908840179443359e+01 6.772556807845830917e-03 1.138787841796875000e+01 0.000000000000000000e+00
8.000000000000000000e+03 1.134129047393798828e+01 7.183528039604425430e-03 1.136193370819091797e+01 0.000000000000000000e+00
9.000000000000000000e+03 1.130712985992431641e+01 6.120793987065553665e-03 1.133971786499023438e+01 0.000000000000000000e+00
1.000000000000000000e+04 1.125943279266357422e+01 6.548695266246795654e-03 1.130435371398925781e+01 0.000000000000000000e+00
